model,mode,needle_type,num_lines,num_needles,partial_match_mean,partial_match_std,partial_match_count,exact_match_mean,exact_match_std,exact_match_count,generation_ms_mean,generation_ms_std,generation_ms_count,scoring_ms_mean,scoring_ms_std,scoring_ms_count,total_ms_mean,total_ms_std,total_ms_count,sub_llm_call_count_mean,sub_llm_call_count_std,sub_llm_call_count_count,sub_llm_prompt_tokens_mean,sub_llm_prompt_tokens_std,sub_llm_prompt_tokens_count,sub_llm_completion_tokens_mean,sub_llm_completion_tokens_std,sub_llm_completion_tokens_count,sub_llm_total_tool_calls_mean,sub_llm_total_tool_calls_std,sub_llm_total_tool_calls_count,sub_llm_total_turns_mean,sub_llm_total_turns_std,sub_llm_total_turns_count,sub_llm_batch_count_mean,sub_llm_batch_count_std,sub_llm_batch_count_count,sub_llm_max_batch_size_mean,sub_llm_max_batch_size_std,sub_llm_max_batch_size_count,sub_llm_mean_batch_size_mean,sub_llm_mean_batch_size_std,sub_llm_mean_batch_size_count,turns_mean,turns_std,turns_count,prompt_tokens_mean,prompt_tokens_std,prompt_tokens_count,completion_tokens_mean,completion_tokens_std,completion_tokens_count
gpt-5-mini,rlm_tips,word,10000,1,1.0,0.0,150,1.0,0.0,150,60741.59386316935,5350.025374636286,150,2.200662295022,0.7351672673643298,150,60743.79452546438,5350.0329717397535,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,4.706666666666667,0.8072379510526538,150,5248.92,1184.8789223676574,150,641.8866666666667,167.28441146046265,150
gpt-5-mini,rlm_tips,word,10000,3,1.0,0.0,50,1.0,0.0,50,60501.71718597412,4716.367640839309,50,2.156562805176,0.5709796745574511,50,60503.8737487793,4716.404782927684,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,4.7,0.8144110179279558,50,5380.84,1273.8769421233237,50,706.08,158.0592552281115,50
gpt-5-mini,rlm_tips,word,10000,5,1.0,0.0,50,1.0,0.0,50,62975.29995441437,3721.053171512197,50,2.49725341797,1.301657240555939,50,62977.79720783234,3720.9962145129966,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,4.74,0.828325086532813,50,5518.3,1338.5767380592972,50,769.34,129.42992903734532,50
gpt-5-mini,rlm_tips,word,20000,1,1.0,0.0,50,1.0,0.0,50,59622.745108604424,3029.529599942477,50,2.425918579102,1.2353705673929596,50,59625.17102718353,3029.4521735429503,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,4.64,0.6627093431281831,50,5211.44,998.8860154375647,50,632.78,132.6631902255344,50
gpt-5-mini,standard,numeric,10000,1,1.0,0.0,50,1.0,0.0,50,10674.492692947395,8419.808010749295,50,1.722292900088,0.5290010499560501,50,10676.214985847475,8419.790044827272,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,1.0,0.0,50,72455.62,154.38817893840832,50,167.84,100.81451142710415,50
gpt-5-mini,standard,word,1000,1,1.0,0.0,50,1.0,0.0,50,6387.786645889282,2738.176924423191,50,1.6967153549240002,0.4690306895560323,50,6389.483361244198,2738.117798380914,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,1.0,0.0,50,7310.74,41.86070682048029,50,253.28,116.99032578179535,50
gpt-5-mini,standard,word,5000,1,1.0,0.0,50,1.0,0.0,50,9413.756856918337,4635.858473265525,50,1.7567157745320001,0.5773345414657193,50,9415.513572692873,4635.782361312816,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,1.0,0.0,50,36285.9,102.37810073547878,50,262.28,119.81380793309496,50
gpt-5-mini,standard,word,10000,1,1.0,0.0,150,1.0,0.0,150,10170.156793594357,4227.0800188463945,150,1.6597143809026667,0.4060828749939134,150,10171.816507975258,4227.045753127576,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,0.0,0.0,150,1.0,0.0,150,72493.34,152.57621398443757,150,276.70666666666665,152.25920792586007,150
gpt-5-mini,standard,word,10000,3,0.9866666666659999,0.09428090416292038,50,0.98,0.1414213562373095,50,12161.112241744988,3528.9242643614766,50,1.638779640208,0.4425232394024805,50,12162.751021385202,3528.8951096198934,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,1.0,0.0,50,72500.42,153.63714075837322,50,455.04,152.53878195396737,50
gpt-5-mini,standard,word,10000,5,0.924,0.22090722034374524,50,0.86,0.35050983275386566,50,19257.948784828193,9214.77805132912,50,1.663212776178,0.22999782494665982,50,19259.611997604366,9214.811174572702,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,1.0,0.0,50,72502.12,152.82678470231764,50,829.04,607.4890428171171,50
gpt-5-mini,standard,word,20000,1,1.0,0.0,50,1.0,0.0,50,15866.305437088013,6732.905436917432,50,1.721501350404,0.4513778046486439,50,15868.026938438417,6732.836419230337,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,0.0,0.0,50,1.0,0.0,50,144892.04,233.9641486577497,50,292.98,145.83335331389563,50
